Team,Expected ML Log5,Expected ML Kp,Predicted Points Log5,Point Margin Kp,Total Points Log5,Hard Rock WP,Log5 WP,Kp WP
Iowa,-1.5369713011733133,-1.3199551866186998,72.6596225888,-13.048769999999998,159.74301162891982,0.15169660678642716,0.11081691836245397,0.1177614340282016
Purdue,-0.031035720260772615,-0.06984330780465631,87.0833890401198,13.048769999999998,159.74301162891982,0.8483033932135728,0.889183081637546,0.8822385659717984
Furman,-1.7450467357804262,-1.5594318797352322,72.16425855519998,-12.33486,157.70165492612256,0.18018018018018017,0.12399821958931709,0.1310692617243721
Arkansas,0.053856425446245915,0.013061951590160437,85.53739637092256,12.33486,157.70165492612256,0.8198198198198199,0.8760017804106828,0.868930738275628
Maryland Eastern Shore,-1.1638990021793996,-0.6694790447963515,68.68242354059427,-14.981200000000001,153.95208131992035,0.09365558912386707,0.07672201995641201,0.08661041910407297
East Carolina,-0.2297304364414619,-0.28082049870437675,85.2696577793261,14.981200000000001,153.95208131992035,0.9063444108761328,0.923277980043588,0.913389580895927
Central Arkansas,-2.833483687115586,-3.0076665898215156,64.48064166098285,-19.27715,148.87167627738012,0.09420289855072464,0.04333032625768827,0.03984666820356969
Hawaii,-0.025317696539978368,-0.0072026746585619195,84.39103461639725,19.27715,148.87167627738012,0.9057971014492754,0.9566696737423118,0.9601533317964304
Arkansas St.,-2.545605197349153,-3.5103263479263638,69.5054488514057,-22.62261,162.81001801920354,0.06308557151780138,0.03272526403534463,0.01986231536098182
Alabama,-0.11526258337849037,-0.05030469257295836,93.30456916779784,22.62261,162.81001801920354,0.9369144284821986,0.9672747359646554,0.9801376846390182
San Jose St.,0.6118815882095432,0.6678778271458943,76.91040678656,0.42090999999999923,153.54916650767132,0.43439716312056736,0.5101710534735948,0.5152616206496268
North Dakota St.,-0.8617899345183009,-0.9047964503158119,76.63875972111133,-0.42090999999999923,153.54916650767132,0.5656028368794326,0.4898289465264052,0.4847383793503732
Cal Poly,-1.2452137095571612,-0.789051645688962,67.78442601822854,-13.358719999999998,149.82978249907268,0.12556053811659193,0.10012763441180902,0.11229195611496101
Oregon St.,-0.15453341606358706,-0.22003360984979048,82.04535648084415,13.358719999999998,149.82978249907268,0.8744394618834082,0.8998723655881911,0.887708043885039
